frame,tl_x,tl_y,tl_loss,tr_x,tr_y,tr_loss,bl_x,bl_y,bl_loss,br_x,br_y,br_loss,processing_time_ms
348,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
349,-39,-44,0.9818,1280,0,nan,0,720,nan,1280,720,nan,36
350,16,-48,0.9673,1280,0,nan,0,720,nan,1280,720,nan,36
351,-44,-47,0.9646,1280,0,nan,0,720,nan,1280,720,nan,35
352,-29,-49,0.9955,1280,0,nan,0,720,nan,1280,720,nan,36
353,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
354,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,44
355,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,57
356,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
357,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
358,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
359,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,38
360,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
361,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
362,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
363,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
364,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
365,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
366,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
367,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
368,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
369,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,39
370,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,40
371,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
372,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
373,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
374,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
